Produto,Review,Avaliação
Smartphone,"Bom desempenho geral, mas esperava mais da tela.",1
Notebook,"Não vale o preço, muito caro para o que oferece.",4
Smartphone,"Bom desempenho geral, mas esperava mais da tela.",1
Smartphone,"Não vale o preço, muito caro para o que oferece.",1
Smartphone,"Funciona bem para o preço, mas tem bugs.",2
Notebook,Pesado e mais lento do que esperava.,4
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",4
Smartphone,Excelente tela e teclado confortável.,2
Smartphone,Pesado e mais lento do que esperava.,3
Notebook,Satisfeito com o desempenho e recursos.,1
Smartphone,"Bom desempenho geral, mas esperava mais da tela.",5
Smartphone,Satisfeito com o desempenho e recursos.,1
Smartphone,Pesado e mais lento do que esperava.,1
Smartphone,"Não vale o preço, muito caro para o que oferece.",3
Notebook,Excelente tela e teclado confortável.,1
Smartphone,Excelente tela e teclado confortável.,2
Notebook,A câmera é incrível e a bateria dura o dia todo.,2
Notebook,Excelente tela e teclado confortável.,4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",5
Smartphone,Excelente tela e teclado confortável.,1
Notebook,Pesado e mais lento do que esperava.,1
Smartphone,A câmera é incrível e a bateria dura o dia todo.,3
Notebook,Pesado e mais lento do que esperava.,2
Notebook,Pesado e mais lento do que esperava.,5
Notebook,Muito lento e a câmera é de baixa qualidade.,4
Notebook,A câmera é incrível e a bateria dura o dia todo.,2
Notebook,Pesado e mais lento do que esperava.,4
Notebook,Muito lento e a câmera é de baixa qualidade.,3
Notebook,Muito lento e a câmera é de baixa qualidade.,3
Notebook,A câmera é incrível e a bateria dura o dia todo.,1
Smartphone,Satisfeito com o desempenho e recursos.,5
Smartphone,"Não vale o preço, muito caro para o que oferece.",4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",2
Notebook,"Não vale o preço, muito caro para o que oferece.",3
Notebook,Excelente tela e teclado confortável.,1
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",1
Notebook,Excelente tela e teclado confortável.,4
Smartphone,Pesado e mais lento do que esperava.,3
Smartphone,"Bom desempenho geral, mas esperava mais da tela.",5
Smartphone,A câmera é incrível e a bateria dura o dia todo.,3
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",4
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",4
Notebook,Pesado e mais lento do que esperava.,3
Notebook,Satisfeito com o desempenho e recursos.,4
Notebook,Muito lento e a câmera é de baixa qualidade.,3
Notebook,Pesado e mais lento do que esperava.,2
Notebook,"Perfeito para trabalho e jogos, super rápido.",3
Smartphone,Muito lento e a câmera é de baixa qualidade.,3
Notebook,A câmera é incrível e a bateria dura o dia todo.,4
Notebook,Muito lento e a câmera é de baixa qualidade.,4
Smartphone,Satisfeito com o desempenho e recursos.,1
Notebook,Muito lento e a câmera é de baixa qualidade.,1
Smartphone,A câmera é incrível e a bateria dura o dia todo.,2
Notebook,Satisfeito com o desempenho e recursos.,1
Smartphone,"Não vale o preço, muito caro para o que oferece.",3
Notebook,"Boa máquina, mas a bateria poderia durar mais.",4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",1
Smartphone,Excelente tela e teclado confortável.,1
Smartphone,"Não vale o preço, muito caro para o que oferece.",2
Smartphone,"Não vale o preço, muito caro para o que oferece.",2
Smartphone,Muito lento e a câmera é de baixa qualidade.,3
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",4
Smartphone,A câmera é incrível e a bateria dura o dia todo.,2
Smartphone,"Funciona bem para o preço, mas tem bugs.",1
Smartphone,"Funciona bem para o preço, mas tem bugs.",4
Notebook,Satisfeito com o desempenho e recursos.,4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",1
Smartphone,"Boa máquina, mas a bateria poderia durar mais.",2
Notebook,"Funciona bem para o preço, mas tem bugs.",1
Notebook,"Boa máquina, mas a bateria poderia durar mais.",4
Notebook,Muito lento e a câmera é de baixa qualidade.,5
Notebook,"Perfeito para trabalho e jogos, super rápido.",5
Smartphone,"Bom desempenho geral, mas esperava mais da tela.",3
Notebook,"Não vale o preço, muito caro para o que oferece.",1
Smartphone,Excelente tela e teclado confortável.,1
Notebook,Satisfeito com o desempenho e recursos.,3
Notebook,"Perfeito para trabalho e jogos, super rápido.",3
Notebook,"Funciona bem para o preço, mas tem bugs.",3
Smartphone,"Não vale o preço, muito caro para o que oferece.",4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",1
Smartphone,Excelente tela e teclado confortável.,4
Notebook,"Boa máquina, mas a bateria poderia durar mais.",3
Smartphone,A câmera é incrível e a bateria dura o dia todo.,1
Notebook,A câmera é incrível e a bateria dura o dia todo.,4
Smartphone,Excelente tela e teclado confortável.,4
Smartphone,Excelente tela e teclado confortável.,3
Notebook,"Funciona bem para o preço, mas tem bugs.",1
Smartphone,Excelente tela e teclado confortável.,3
Notebook,Muito lento e a câmera é de baixa qualidade.,1
Notebook,"Boa máquina, mas a bateria poderia durar mais.",5
Notebook,"Perfeito para trabalho e jogos, super rápido.",2
Notebook,Pesado e mais lento do que esperava.,2
Notebook,Excelente tela e teclado confortável.,2
Notebook,Satisfeito com o desempenho e recursos.,3
Notebook,A câmera é incrível e a bateria dura o dia todo.,5
Notebook,Muito lento e a câmera é de baixa qualidade.,1
Notebook,"Não vale o preço, muito caro para o que oferece.",4
Notebook,Pesado e mais lento do que esperava.,1
Notebook,"Perfeito para trabalho e jogos, super rápido.",4
Smartphone,Pesado e mais lento do que esperava.,1
